date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:25	12026/12026	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:25%20GMT	http://www.kanjidamage.com/kanji/34-spring-%e6%b3%89	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/34-spring-%e6%b3%89.html	(from http://www.kanjidamage.com/kanji)
21:08:26	12728/12728	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:26%20GMT	http://www.kanjidamage.com/kanji/35-ice-%e6%b0%b7	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/35-ice-%e6%b0%b7.html	(from http://www.kanjidamage.com/kanji)
21:08:26	14187/14187	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:26%20GMT	http://www.kanjidamage.com/kanji/36-forever-%e6%b0%b8	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/36-forever-%e6%b0%b8.html	(from http://www.kanjidamage.com/kanji)
21:08:27	11346/11346	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:27%20GMT	http://www.kanjidamage.com/kanji/37-swim-%e6%b3%b3	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/37-swim-%e6%b3%b3.html	(from http://www.kanjidamage.com/kanji)
21:08:28	13632/13632	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:27%20GMT	http://www.kanjidamage.com/kanji/38-stay-for-the-night-%e6%b3%8a	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/38-stay-for-the-night-%e6%b3%8a.html	(from http://www.kanjidamage.com/kanji)
21:08:28	12665/12665	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:28%20GMT	http://www.kanjidamage.com/kanji/39-juice-soup-%e6%b1%81	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/39-juice-soup-%e6%b1%81.html	(from http://www.kanjidamage.com/kanji)
21:08:29	13515/13515	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:29%20GMT	http://www.kanjidamage.com/kanji/40-mix-%e6%b7%b7	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/40-mix-%e6%b7%b7.html	(from http://www.kanjidamage.com/kanji)
21:08:30	17871/17871	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:29%20GMT	http://www.kanjidamage.com/kanji/41-moon-organ-%e6%9c%88	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/41-moon-organ-%e6%9c%88.html	(from http://www.kanjidamage.com/kanji)
21:08:30	11383/11383	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:30%20GMT	http://www.kanjidamage.com/kanji/42-big-lake-%e6%b9%96	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/42-big-lake-%e6%b9%96.html	(from http://www.kanjidamage.com/kanji)
21:08:31	13857/13857	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:31%20GMT	http://www.kanjidamage.com/kanji/43-bright-%e6%98%8e	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/43-bright-%e6%98%8e.html	(from http://www.kanjidamage.com/kanji)
21:08:31	12766/12766	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:31%20GMT	http://www.kanjidamage.com/kanji/44-animal-fat-%e8%84%82	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/44-animal-fat-%e8%84%82.html	(from http://www.kanjidamage.com/kanji)
21:08:32	12040/12040	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:32%20GMT	http://www.kanjidamage.com/kanji/45-gall-bladder-daring-%e8%83%86	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/45-gall-bladder-daring-%e8%83%86.html	(from http://www.kanjidamage.com/kanji)
21:08:33	12828/12828	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:33%20GMT	http://www.kanjidamage.com/kanji/46-morning-%e6%9c%9d	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/46-morning-%e6%9c%9d.html	(from http://www.kanjidamage.com/kanji)
21:08:33	15249/15249	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:33%20GMT	http://www.kanjidamage.com/kanji/47-fire-%e7%81%ab	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/47-fire-%e7%81%ab.html	(from http://www.kanjidamage.com/kanji)
21:08:34	12073/12073	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:34%20GMT	http://www.kanjidamage.com/kanji/48-flame-%e7%82%8e	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/48-flame-%e7%82%8e.html	(from http://www.kanjidamage.com/kanji)
